element,web_name,team,team_name,next_opponent_id,next_opponent_name,is_home,opponent_strength,now_cost,selected_by_percent,element_type,code,team_code,opponent_team_code,ict_index,status,chance_of_playing_next_round,news,recent_form,recent_clean_sheets,recent_saves,recent_goals_conceded,recent_goals_scored,recent_assists,recent_threat,recent_influence,recent_creativity,recent_penalties_saved
231,M.Sarr,7,Chelsea,9,Everton,1,3,45,0.0,2,574458,8,11,0.0,u,0.0,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Tosin,7,Chelsea,9,Everton,1,3,42,0.3,2,109646,8,11,20.5,a,100.0,,2.6,0.2,0.0,0.6,0.0,0.0,1.6,12.64,2.2199999999999998,0.0
233,Acheampong,7,Chelsea,9,Everton,1,3,39,1.5,2,577016,8,11,15.8,a,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Anselmino,7,Chelsea,9,Everton,1,3,40,0.1,2,622758,8,11,0.0,u,0.0,has joined Borussia Dortmund on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Palmer,7,Chelsea,9,Everton,1,3,103,10.1,3,244851,8,11,17.4,a,100.0,,0.4,0.0,0.0,0.2,0.0,0.0,2.6,2.96,3.8,0.0
236,Neto,7,Chelsea,9,Everton,1,3,73,9.2,3,247632,8,11,97.9,a,100.0,,5.4,0.6,0.0,0.4,0.6,0.0,30.0,27.119999999999997,25.939999999999998,0.0
237,Enzo,7,Chelsea,9,Everton,1,3,66,12.5,3,448047,8,11,101.2,a,100.0,,4.2,0.6,0.0,0.8,0.2,0.0,21.0,18.84,25.6,0.0
238,Estêvão,7,Chelsea,9,Everton,1,3,65,2.8,3,624773,8,11,44.4,a,,,1.2,0.0,0.0,0.4,0.0,0.2,4.2,1.9599999999999997,13.6,0.0
239,Gittens,7,Chelsea,9,Everton,1,3,61,0.1,3,463936,8,11,28.8,a,,,2.4,0.2,0.0,0.4,0.0,0.4,5.6,10.24,12.14,0.0
240,Nkunku,7,Chelsea,9,Everton,1,3,59,0.1,3,213198,8,11,0.0,u,0.0,has joined AC Milan permanently.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Caicedo,7,Chelsea,9,Everton,1,3,58,10.3,3,486672,8,11,49.7,s,0.0,Suspended until 20 Dec,0.0,0.2,0.0,0.2,0.0,0.0,0.0,1.8800000000000001,4.46,0.0
243,George,7,Chelsea,9,Everton,1,3,48,0.1,3,550615,8,11,7.1,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Lavia,7,Chelsea,9,Everton,1,3,49,0.0,3,514356,8,11,1.8,i,0.0,Thigh injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Mudryk,7,Chelsea,9,Everton,1,3,49,0.0,3,465920,8,11,0.0,s,0.0,Suspended - unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Andrey Santos,7,Chelsea,9,Everton,1,3,45,0.3,3,532605,8,11,17.0,a,100.0,,1.6,0.2,0.0,0.6,0.0,0.0,0.2,7.4399999999999995,4.0600000000000005,0.0
247,D.Essugo,7,Chelsea,9,Everton,1,3,43,0.1,3,491007,8,11,0.0,i,0.0,Thigh injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Paez,7,Chelsea,9,Everton,1,3,45,0.0,3,611134,8,11,0.0,u,0.0,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,João Pedro,7,Chelsea,9,Everton,1,3,73,34.5,4,475168,8,11,91.1,a,,,2.4,0.4,0.0,0.6,0.2,0.0,21.8,11.56,19.14,0.0
250,Delap,7,Chelsea,9,Everton,1,3,62,1.0,4,463034,8,11,14.1,i,0.0,Shoulder injury - Unknown return date,1.6,0.4,0.0,0.6,0.0,0.0,15.8,1.08,1.58,0.0
251,N.Jackson,7,Chelsea,9,Everton,1,3,65,0.1,4,517052,8,11,0.0,u,0.0,has joined Bayern Munich on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Marc Guiu,7,Chelsea,9,Everton,1,3,42,7.4,4,499309,8,11,12.6,a,100.0,,1.2,0.0,0.0,0.0,0.0,0.2,7.0,4.720000000000001,6.959999999999999,0.0
453,Garnacho,7,Chelsea,9,Everton,1,3,64,0.6,3,493105,8,11,40.7,a,,,3.2,0.4,0.0,0.4,0.0,0.4,10.2,11.440000000000001,19.04,0.0
672,Hato,7,Chelsea,9,Everton,1,3,47,0.2,2,551210,8,11,3.2,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,Emenalo,7,Chelsea,9,Everton,1,3,45,0.0,3,611912,8,11,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Dewsbury-Hall,9,Everton,7,Chelsea,0,3,51,8.1,3,215413,11,8,78.8,a,100.0,,9.6,0.8,0.0,0.8,0.6,0.4,21.2,34.56,15.300000000000002,0.0
287,Pickford,9,Everton,7,Chelsea,0,3,55,10.7,1,111234,11,8,38.1,a,,,6.2,0.8,3.4,0.8,0.0,0.0,0.0,27.52,0.0,0.0
288,Travers,9,Everton,7,Chelsea,0,3,43,0.1,1,229600,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Tyrer,9,Everton,7,Chelsea,0,3,39,0.1,1,447325,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Branthwaite,9,Everton,7,Chelsea,0,3,53,0.1,2,480455,11,8,0.0,i,0.0,Hamstring injury - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Tarkowski,9,Everton,7,Chelsea,0,3,55,7.2,2,17761,11,8,59.1,a,,,7.0,0.8,0.0,0.8,0.0,0.2,11.0,26.919999999999998,9.1,0.0
292,Mykolenko,9,Everton,7,Chelsea,0,3,49,0.5,2,224967,11,8,29.9,a,100.0,,5.4,0.8,0.0,0.8,0.0,0.0,0.8,16.96,8.819999999999999,0.0
293,O'Brien,9,Everton,7,Chelsea,0,3,49,0.4,2,512462,11,8,38.8,a,,,4.2,0.6,0.0,0.8,0.0,0.2,3.4,14.16,7.08,0.0
294,Coleman,9,Everton,7,Chelsea,0,3,43,0.1,2,59949,11,8,0.0,i,0.0,Hamstring injury - Unknown return date,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
295,Keane,9,Everton,7,Chelsea,0,3,46,2.6,2,106611,11,8,52.0,a,100.0,,7.0,0.6,0.0,0.8,0.2,0.0,10.0,24.36,0.6,0.0
296,Patterson,9,Everton,7,Chelsea,0,3,44,0.0,2,243571,11,8,0.0,a,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Dixon,9,Everton,7,Chelsea,0,3,38,0.2,2,496178,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Welch,9,Everton,7,Chelsea,0,3,38,0.1,2,474907,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Ndiaye,9,Everton,7,Chelsea,0,3,64,8.8,3,440993,11,8,83.7,a,100.0,,3.8,0.8,0.0,0.8,0.0,0.2,14.4,13.160000000000002,12.6,0.0
300,McNeil,9,Everton,7,Chelsea,0,3,55,0.1,3,433154,11,8,7.3,a,,,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.6,6.9799999999999995,0.0
301,Alcaraz,9,Everton,7,Chelsea,0,3,52,0.1,3,502697,11,8,19.7,a,,,2.0,0.4,0.0,0.2,0.0,0.2,6.2,4.96,8.559999999999999,0.0
302,Gana,9,Everton,7,Chelsea,0,3,54,0.1,3,80801,11,8,39.2,a,100.0,,1.6,0.2,0.0,0.0,0.2,0.0,8.4,8.6,3.2,0.0
303,Garner,9,Everton,7,Chelsea,0,3,50,0.6,3,232928,11,8,67.8,a,,,3.4,0.8,0.0,0.8,0.0,0.2,7.6,15.4,16.42,0.0
304,Iroegbunam,9,Everton,7,Chelsea,0,3,48,0.0,3,490094,11,8,12.2,a,100.0,,2.2,0.4,0.0,0.6,0.0,0.2,1.4,6.719999999999999,3.62,0.0
305,Armstrong,9,Everton,7,Chelsea,0,3,45,0.0,3,609873,11,8,0.0,u,0.0,has joined Preston North End on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Bates,9,Everton,7,Chelsea,0,3,44,0.1,3,547801,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,Ebere,9,Everton,7,Chelsea,0,3,44,0.0,3,504296,11,8,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Heath,9,Everton,7,Chelsea,0,3,45,0.0,3,496279,11,8,0.0,u,0.0,has joined Accrington on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
